OriginInstruction,Instruction,Summary,Category,User story
"{""instruction"": ""Which is a species of fish? Tope or Rope"", ""context"": """", ""response"": ""Tope"", ""category"": ""classification""}","Definition: In this task, determine which of the given options is a species of fish. Read the instruction carefully and select the correct answer between the two provided options. Emphasis & Caution: - Things to avoid: -",Identify which option represents a species of fish and return the correct answer.,Commonsense Classification,"As a general user, I want to identify a species of fish correctly, so that I can ensure accurate classification of biological terms."
"{""instruction"": ""Identify which instrument is string or percussion: Cantaro, Gudok"", ""context"": """", ""response"": ""Gudok is string, Cantaro is percussion."", ""category"": ""classification""}","Definition: In this task, identify which of the provided instruments is a string instrument and which is a percussion instrument. Carefully read the names and assign each to the correct category. Emphasis & Caution: - Things to avoid: Avoid adding extra explanations or descriptions about the instruments.",Classify each instrument as either string or percussion.,Commonsense Classification,"As a user classifying musical instruments, I want to correctly categorize them by type (string or percussion) to aid in organizing instrument information accurately."
"{""instruction"": ""Which of the following is useful for transportation: a glass of wine, a lamp, a train, an iced cube tray, a plane, a bicycle, an apple and a scooter."", ""context"": """", ""response"": ""The useful objects for transportation in the list are train, plane, bicyle and scooter."", ""category"": ""classification""}","Definition: In this task, identify which objects from the provided list are useful for transportation. Read each option carefully and select only those items that are associated with transportation. Emphasis & Caution: - Things to avoid: Avoid adding explanations or additional descriptions for each object.",Identify the items related to transportation from the list and return them as the answer.,Commonsense Classification,"As a user evaluating objects, I want to select items associated with transportation to ensure correct identification of transport-related items in a given list."
"{""instruction"": ""Identify which instrument is string or woodwind: Panduri, Zurna"", ""context"": """", ""response"": ""Zurna is woodwind, Panduri is string."", ""category"": ""classification""}","Definition: In this task, determine whether each of the given musical instruments is a string or woodwind instrument. Read the instrument names carefully and specify the correct classification for each. Emphasis & Caution: - Things to avoid: -",Classify each instrument as string or woodwind.,Commonsense Classification,"As a music content annotator, I want to identify the classification of given instruments as string or woodwind, so that I can accurately label musical instrument data."
"{""instruction"": ""Identify which instrument is string or percussion: Kpanlogo, Shamisen"", ""context"": """", ""response"": ""Shamisen is string, Kpanlogo is percussion."", ""category"": ""classification""}","Definition: In this task, determine whether each of the given musical instruments is a string or percussion instrument. Read the instrument names carefully and specify the correct classification for each. Emphasis & Caution: - Things to avoid: -",Classify each instrument as string or percussion.,Commonsense Classification,"As a music content annotator, I want to identify the classification of given instruments as string or percussion, so that I can accurately label musical instrument data."
"{""instruction"": ""Classify each of the following as a primary color or a secondary color"", ""context"": """", ""response"": ""blue, yellow, green, red, purple, orange"", ""category"": ""classification""}","Definition: In this task, classify each of the listed colors as either a primary color or a secondary color. Review each color carefully and assign it to the correct category. Emphasis & Caution: - Things to avoid: -",Classify each color as primary or secondary.,Commonsense Classification,"As a color data annotator, I want to classify colors as primary or secondary, so that I can organize color information accurately."
"{""instruction"": ""Which of these are rappers? Eminem, Michael Jackson, Rihanna, 50 Cent"", ""context"": """", ""response"": ""Eminem, 50 Cent"", ""category"": ""classification""}","Definition: In this task, identify which of the listed individuals are rappers. Review each name and select those who belong to the rap genre. Emphasis & Caution: - Things to avoid: -",Identify which individuals are rappers.,Commonsense Classification,"As a music genre annotator, I want to identify rappers from a given list, so that I can correctly categorize artists by genre."
"{""instruction"": ""Classify each of the following pieces of equipment according to the sport they are used for, either basketball, football, or soccer: shin guards, shooting sleeve, penalty flag, corner flag, kicking tee, and goalie gloves."", ""context"": """", ""response"": ""The classification is as follows:\n- Soccer: goalie gloves, corner flag\n- Basketball: shooting sleeve\n- Football: penalty flag, kicking tee"", ""category"": ""classification""}","Definition: In this task, classify each piece of equipment according to the sport it is used for: basketball, football, or soccer. Carefully review each item and assign it to the correct sport category. Emphasis & Caution: - Things to avoid: -","Classify each item as used in basketball, football, or soccer.",Commonsense Classification,"As a sports equipment annotator, I want to classify each item by its associated sport, so that I can accurately organize equipment by sport category."
"{""instruction"": ""Identify which animal species is alive or extinct: Palaeophis, Giant Tortoise"", ""context"": """", ""response"": ""Giant Tortoise is alive, Palaeophis is extinct."", ""category"": ""classification""}","Definition: In this task, identify whether each listed animal species is currently alive or extinct. Review each species carefully and classify it as either ""alive"" or ""extinct."" Emphasis & Caution: - Things to avoid: -",Classify each animal species as alive or extinct.,Commonsense Classification,"As a species data annotator, I want to identify whether each species is alive or extinct, so that I can accurately label species' conservation statuses."
"{""instruction"": ""Identify which instrument is string or percussion: Samphor, Viola toeria"", ""context"": """", ""response"": ""Viola toeria is string, Samphor is percussion."", ""category"": ""classification""}","Definition: In this task, determine whether each of the given musical instruments is a string or percussion instrument. Review the instrument names carefully and specify the correct classification for each. Emphasis & Caution: - Things to avoid: -",Classify each instrument as string or percussion.,Commonsense Classification,"As a music content annotator, I want to identify the classification of given instruments as string or percussion, so that I can accurately label musical instrument data."
