Instruction,Summary,Category,User story
"Definition: In this task, you are given a sentence in the Bulgarian language. Here, your job is to convert bulgarian sentence into the english language. Emphasis & Caution: - Things to avoid: -Example:- ",Translate a sentence in Bulgarian to English.,Translation,"As a language translator, I want to convert Bulgarian sentences into English, so non-Bulgarian speakers can understand them."
"Definition: In this task, you are given a sentence in the english language. Here, your job is to convert english sentence into the bulgarian language. Emphasis & Caution: - Things to avoid: -Example:- ",Translate a sentence in English to Bulgarian.,Translation,"As a language translator, I want to convert English sentences into Bulgarian, so Bulgarian speakers can understand them."
"Definition: In this task, you are given a sentence in the Swedish language and your task is to convert it into the English language. Emphasis & Caution: In translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -Example:- ","Given a Swedish sentence, convert it into English.",Translation,"As a translator, I want to convert sentences from Swedish to English, So that they are accessible and understandable to English speakers, By maintaining the original numbers in the text, And applying sentence case capitalization rules (capitalizing only the first word of each sentence and nouns)."
"Definition: In this task, you are given a sentence in the English language and your task is to convert it into the Swedish language. Emphasis & Caution: In translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -Example:- ","Given an English sentence, convert it into Swedish.",Translation,"As a translator, I want to translate sentences from English into Swedish, So that non-English speakers can understand the content, By preserving the original numbers within the text, And applying sentence case capitalization rules (capitalizing the first word of each sentence and nouns)."
"Definition: In this task, you are given a sentence in the English language and your task is to convert it into the Hindi language. Emphasis & Caution: In the translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -Example:- ","Given a Hindi sentence, convert it into English.",Translation,"As a language translator, I want to convert English sentences to Hindi, Retaining numbers and applying sentence case capitalization, Whereby only the first word of each sentence and nouns are capitalized."
"Definition: In this task, you are given a sentence in the English language and your task is to convert it into the Hindi language. In translation, keep numbers as it is. Emphasis & Caution: - Things to avoid: -Example:- ","Given an English sentence, convert it into Hindi.",Translation,"As a language translator, I want to accurately translate English sentences into Hindi, Preserving the original numbers within the text."
"Definition: In this task, you are given a sentence in the English language and your task is to convert it into the Hindi language. Emphasis & Caution: In translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -Example:- ",Given an English language sentence translate it into Hindi language.,Translation,"As a language translator, I want to translate sentences from English to Hindi, Ensuring numbers remain unchanged and applying sentence case capitalization rules (capitalizing only the first word of each sentence and proper nouns), So that I can provide accurate and well-formatted Hindi translations for given English sentences."
"Definition: In this task, you are given a sentence in the Hindi language and your task is to convert it into the English language. Emphasis & Caution: In translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -Example:- ",Given an Hindi language sentence translate it into English language.,Translation,"As a language translator, I want to translate sentences from Hindi to English, Ensuring numbers remain unchanged and applying sentence case capitalization rules (capitalizing only the first word of each sentence and proper nouns), So that I can provide accurate and well-formatted English translations for given Hindi sentences."
"Definition: In this task, you are given a sentence in the English language and your task is to convert it into the Japanese language. Emphasis & Caution: In translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -Example:- ",Given an English language sentence translate it into Japanese language.,Translation,"As a language translator, I want to translate sentences from English to Japanese, Ensuring numbers stay the same and applying sentence case conventions (capitalizing only the first word of each sentence and proper nouns), So that I can produce accurate and properly formatted Japanese translations for given English sentences."
"Definition: In this task, you are given a sentence in the Japanese language and your task is to convert it into the English language. Emphasis & Caution: In translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun). Things to avoid: -Example:- ",Given an Japanese language sentence translate it into English language.,Translation,"As a language translator, I want to translate sentences from Japanese to English, Ensuring numbers remain unchanged and adhering to sentence case rules (capitalizing only the first word of each sentence and proper nouns), So that I can deliver precise and appropriately formatted English translations for given Japanese sentences."
"Definition: In this task, you are given a sentence in the English language and your task is to convert English sentence into the Gujarati language. Emphasis & Caution: - Things to avoid: -Example:- ",Translation from English to Gujarati sentences.,Translation,"As a language translator, I want to translate sentences from English to Gujarati, So that I can provide accurate and understandable Gujarati versions of the given English sentences, Without specifying any additional constraints or reasons behind the goal."
"Definition: In this task, you are given a sentence in the Gujarati language and your task is to convert Gujarati sentence into the English language. Emphasis & Caution: - Things to avoid: -Example:- ",Translation from Gujarati to English sentences.,Translation,"As a language translator, I want to translate sentences from Gujarati to English, So that I can create clear and accurate English renditions of the provided Gujarati sentences, Without mentioning any specific constraints or reasons behind the goal."
"Definition: Given a sentence in English language, translate the sentence to Somali language keeping the meaning of the original sentence intact. Emphasis & Caution: - Things to avoid: -Example:- ",Translating English text to Somali,Translation,"As a Translator, I want to accurately translate English sentences into Somali while preserving their original meaning, so that users can understand the content in the target language."
"Definition: Given a sentence in English language, translate the sentence to Tagalog language keeping the meaning of the original sentence intact. Emphasis & Caution: - Things to avoid: -Example:- ",Translating English text to Tagalog,Translation,"As a Translator, I want to precisely translate English sentences into Tagalog while maintaining their original meaning, ensuring effective communication for the user."
"Definition: Given a sentence in Igbo language, translate the sentence to English language keeping the meaning of the original sentence intact. Emphasis & Caution: - Things to avoid: -Example:- ",Translating Igbo text to English,Translation,"As a Translator, I want to accurately translate sentences from Igbo language to English, preserving the original meaning, to enable effective cross-linguistic communication for the user."
"Definition: Given a sentence in Somali language, translate the sentence to English language keeping the meaning of the original sentence intact. Emphasis & Caution: - Things to avoid: -Example:- ",Translating Somali text to English,Translation,"As a Somali to English Translator, I want to accurately translate sentences from Somali language into English, ensuring the preservation of the original meaning, to facilitate clear and accurate cross-lingual understanding for the user."
"Definition: Given a sentence in Tagalog language, translate the sentence to English language keeping the meaning of the original sentence intact. Emphasis & Caution: - Things to avoid: -Example:- ",Translating Tagalog text to English,Translation,"As a translator, I want to accurately translate a given Tagalog sentence into English, ensuring the meaning remains unchanged."
"Definition: Given a sentence in English language, translate the sentence to Igbo language keeping the meaning of the original sentence intact. Emphasis & Caution: - Things to avoid: -Example:- ",Translating English text to Igbo,Translation,"As a translator, I want to precisely translate a provided English sentence into Igbo, maintaining the original meaning."
"Definition: In this task, you are given a sentence in English and your task is to translate it into Spanish. Emphasis & Caution: In translation, keep the numbers and capitalization (capitalize only the first word of each sentence and name). Things to avoid: -Example:- ","Given a English sentence, convert it into Spanish.",Translation,"As a language translator, I want to accurately translate English sentences into Spanish, So that the meaning remains consistent across languages, By maintaining numbers and capitalization rules (capitalizing only the first word of each sentence and proper nouns)."
"Definition: In this task, you are given a sentence in Spanish and your task is to translate it into English. Emphasis & Caution: In translation, keep the numbers and capitalization (capitalize only the first word of each sentence and name). Things to avoid: -Example:- ","Given an Spanish sentence, convert it into English.",Translation,"As a language translator, I want to accurately translate Spanish sentences into English, So that the meaning remains consistent across languages, By maintaining numbers and capitalization rules (capitalizing only the first word of each sentence and proper nouns)."
"Definition: In this task, given a sentence in the Chinese language, your task is to convert it into the English language. Emphasis & Caution: - Things to avoid: -Example:- ",Language Translate of Dataset Card for ALT from Chinese language to English language while preserving named entities in the original language,Translation,"As a translator, I want to accurately translate sentences from Chinese to English, So that non-Chinese speakers can understand the content."
"Definition: In this task, given a sentence in the Vietnamese language, your task is to convert it into the English language. Emphasis & Caution: - Things to avoid: -Example:- ",Language Translate of Dataset Card for ALT from Vietnamese language to English language while preserving named entities in the original language,Translation,"As a translator, I want to accurately translate sentences from Vietnamese to English, So that non-Vietnamese speakers can understand the content."
"Definition: In this task, given a sentence in the Thai language, your task is to convert it into the English language. Emphasis & Caution: - Things to avoid: -Example:- ",Language Translate of Dataset Card for ALT from Thai language to English language while preserving named entities in the original language,Translation,"As a translator, I want to accurately translate sentences from Thai to English, So that non-Thai speakers can understand the message."
"Definition: In this task, given a sentence in the Burmese Language, your task is to convert it into the English language. Emphasis & Caution: - Things to avoid: -Example:- ",Language Translate of Dataset Card for ALT from Burmese language to English language while preserving named entities in the original language,Translation,"As a translator, I want to precisely translate sentences from Burmese to English, So that non-Burmese speakers can comprehend the information."
"Definition: In this task, given a sentence in the Malay language, and your task is to convert it into the English language. Emphasis & Caution: - Things to avoid: -Example:- ",Language Translate of Dataset Card for ALT from Malay language to English language while preserving named entities in the original language,Translation,"As a translator, I want to accurately translate sentences from Malay to English, So that non-Malay speakers can understand the text."
