Instruction,Summary,Category,User story
"Definition: Read the given sentence and if it is a general advice then indicate via ""yes"". Otherwise indicate via ""no"". advice is basically offering suggestions about the best course of action to someone. advice can come in a variety of forms, for example Direct advice and Indirect advice. Emphasis & Caution: - Things to avoid: (1) Direct advice: Using words (e.g., suggest, advice, recommend), verbs (e.g., can, could, should, may), or using questions (e.g., why don't you's, how about, have you thought about). (2) Indirect advice: contains hints from personal experiences with the intention for someone to do the same thing or statements that imply an action should (or should not) be taken.","Given a text, detect whether it's an advise or not.",Text Categorization,"As a reader, I want to identify whether a given sentence is providing general advice, So that I can label it as ""yes"" when it suggests a course of action, Or mark it as ""no"" if it doesn't fit this description, Considering both direct and indirect forms of advice."
"Definition: Given a set of four words, generate the category that the words belong to. Words are separated by commas. The possible categories are social gathering, accomodation, physical property, measurement unit, corporate, nutritional value, boats, police punishment, location (proximity), card games, outdoor sport activity, military rank, baby animals, weather, consumer product, animals, boxing terminology, food, chocolate food, bird, type of sandwich, date status, body part, ocean, employment activity, moral characteristic, elements, poker, computers, construction, guitar part, shady activities, physical activity, kitchenware, temperature, type of rigidity, emotional status, season, mode of transportation, window material, activity, emotional display, geographical property, fried food, store status, widespread, aesthetic characteristic, alcoholic drinks, secretary duty, direction, personal characteristic, and animal. Emphasis & Caution: - Things to avoid: -","Given a set of words, select the category that represents the words.",Text Categorization,"As a Word Categorizer, I want to assign a category to a set of four words separated by commas, so that I can effectively group them according to their common theme or classification, without any specified constraints or conditions."
"Definition: In this task, you're given a pair of sentences, sentence 1 and sentence 2. Your job is to write a single word that describes the genre that the two sentences belong to, such as face-to-face, government, letters, 9/11, slate, telephone, travel, verbatim, oup, fiction. Emphasis & Caution: - Things to avoid: -","Given two sentences, write a single word describing the common genre to which they belong.",Text Categorization,"As a text genre identifier, I want to identify the category or genre that best fits the given pair of sentences, so that the texts can be appropriately classified, by analyzing their content and style according to predefined genres."
"Definition: In this task, you're given a pair of sentences, sentence 1 and sentence 2. Your job is to classify the genre of the sentences from the 10 options displayed. Indicate your answer by entering the number of the choice as 1-10. Emphasis & Caution: - Things to avoid: -","Given two sentences and 10 genre choices, determine the genre to which the sentences belong.",Text Categorization,"As a text genre classifier, I want to assign the appropriate genre label to the given pair of sentences from the provided list of 10 options, so that the sentences can be accurately categorized, by selecting and inputting the corresponding numerical index of the correct genre choice."
"Definition: In this task, you're given two sentences, sentence 1 and sentence 2, and the genre they belong to. Your job is to determine if the two sentences belong to the same genre or not. Indicate your answer with Y and N respectively. Genres available include: face-to-face, government, letters, 9/11, slate, telephone, travel, verbatim, oup, fiction. Sentences belonging to 'face-to-face' genres relate to conversations or dialogues, 'government' encompasses information released from public government websites, 'letters' refers to any written work for philanthropic fundraising, '9/11' relates to information pertaining to the 9/11 attacks, 'oup' includes non-fiction works on the textile industry and child development, 'slate' refers to any cultural topic that appears in the slate magazine, 'telephone' includes telephonic dialogue, 'travel' deals with information in travel guides, 'verbatim' includes short posts regarding linguistics, and 'fiction' includes popular works of fiction like 'The Secret Adversary' etc. Emphasis & Caution: - Things to avoid: -","Given two sentences and the genre they should belong to, determine if they belong to the same genre or not.",Text Categorization,"As a Genre Identifier, I want to analyze two given sentences, To determine whether they belong to the same genre, So that I can provide a clear answer with either Y (yes) or N (no), Based on the provided list of genres and their descriptions."
"Definition: In this task, you will be shown a sentence, and you should determine whether it is overruling or non-overruling. In law, an overruling sentence is a statement that nullifies a previous case decision as a precedent by a constitutionally valid statute or a decision by the same or higher ranking court which establishes a different rule on the point of law involved. Classify your answers into overruling or non-overruling. Emphasis & Caution: - Things to avoid: -","Given a sentence, classify it into overruling or non-overruling.",Text Categorization,"As a classifier, I want to identify whether sentences in legal cases are overruling or non-overruling so that the system can accurately maintain a record of legal precedents, classifying them accordingly."
"Definition: In this task, you are given a short passage that conveys stereotype or anti-stereotype about a specific target. A stereotype is an over-generalized belief about a particular group of people. An anti-stereotype is an idea that goes against a common stereotype. Emphasis & Caution: You are expected to classify the passage into four types of stereotype or anti-stereotype: gender, profession, race, and religion. Things to avoid: -","Classify sentences into four kinds of stereotypes, including gender, profession, race, and religion.",Text Categorization,"As a content analyzer, I want to classify passages into four categories of stereotypes or anti-stereotypes, Namely gender, profession, race, and religion, So that I can accurately identify and categorize preconceived notions and counter-narratives regarding these groups, Based on the information provided in the given short passage."
"Definition: In this task you are given an anecdote. You must find out whether the anecdote is something the author has done or is considering doing. Label the instances as ""HISTORICAL"" when the author has already done something and label them as ""HYPOTHETICAL"" when the author is considering doing something in the future. Emphasis & Caution: - Things to avoid: -","Given an anecdote, find whether it has already happened or it may happen in the future.",Text Categorization,"As an anecdote interpreter, I want to classify anecdotes as either ""HISTORICAL"" or ""HYPOTHETICAL"", To determine whether the described actions have already occurred or are being contemplated, By carefully examining the content of each anecdote provided."
"Definition: In this task, you will be given a sentence about a person. You should determine how the sentence affects how the person is perceived by most people in society. Your choices are: Positive: The social perception of [PERSON] in the sentence is considered predominantly positive. Negative: The social perception of [PERSON] in the sentence is considered predominantly negative. No impact: There is no clear impact of social perception of [PERSON] associated with the sentence. Emphasis & Caution: - Things to avoid: -","Given a sentence about a person, decide what is the impact of that sentence on the society's perception of that person.",Text Categorization,"As a social perception analyst, I want to assess the impact of a given sentence on a person's societal image, So that I can understand how the person is generally perceived by others, By examining the sentence and categorizing it as having a Positive, Negative, or No impact on the social perception of the person mentioned."
"Definition: In this task, you will be given a debate topic, along with a sentence from the debate. You should classify the given sentence and choose the type of that sentence. Possible types are explained below. Policy: This refers to a sentence proposing a specific course of action to be taken. It typically contains modal verbs like ""should"" and ""ought to"". Value: This refers to a sentence containing value judgments without making specific claims about what should be done (If so, then it is a Policy sentence.). Fact: This refers to an objective proposition expressing or dealing with facts or conditions as perceived without distortion by personal feelings, prejudices, or interpretations. A Fact sentence has a truth value that can be verified with objective evidence that may be available at the time the claim is made; predictions about future are considered unverifiable. Testimony: This refers to an objective sentence about the author's personal state or experience. Evidence for Testimony is not publicly available in most cases. Emphasis & Caution: - Things to avoid: It cannot be directly proved with objective evidence, and a proper type of support is a logical reason from which the proposition can be inferred. Because of the subjectivity of value judgments, it cannot be proved directly with objective evidence.","Given a debate topic and a sentence from the debate, classify the type of the sentence.",Text Categorization,"As a debate content classifier, I want to accurately categorize sentences in a debate into their respective types, So that I can better organize and understand the discourse structure and arguments being presented, By identifying whether the sentence is proposing a policy, making a value judgment, stating a fact, or providing testimony, based on its content and characteristics."
