Instruction,Summary,Category,User story
"Definition: Given a document, find the main entity about whom the author is writing. Write the full name if mentioned in the text. Note that URLs in the text have been replaced with [Link]. Emphasis & Caution: - Things to avoid: -","Given a document, find the main entity about whom the author is writing.",Named Entity Recognition,"As a user, I want to identify the main entity discussed in a given document, so that I can better understand the central figure or subject."
"Definition: In this task, you have to generate the named entities (NER) given its ingredients of the recipe. Named entities are the names of the items without their quantity. Emphasis & Caution: - Things to avoid: -",Generate the ner given its required ingredients given.,Named Entity Recognition,"As a NER extractor for recipes, I want to identify and list the named entities (ingredients) within a set of recipe ingredients, so that users can clearly see the individual ingredient names without their specified quantities."
"Definition: In this task, you have to identify the named entities (NER) which are the ingredients required given its directions. Named entities are the names of the items without their quantity. Emphasis & Caution: - Things to avoid: -",Generate the ner given its directions.,Named Entity Recognition,"As a NER identifier, I want to extract and name the entities (ingredients) mentioned within the directions, so that users can know what ingredients are required without their specific quantities being stated."
"Definition: In this task, you are given a text from a post. Your task is to find all of the proper nouns and label them. The labels are <B-PER>, <I-PER> for persons; <B-ORG>, <I-ORG> for organizations; <B-LOC>, <I-LOC> for locations; and <B-MISC>, <I-MISC> for other nouns. The capital 'B' denotes the first word of a proper noun phrase. The capital 'I' denotes all following words of the same noun phrase. Emphasis & Caution: - Things to avoid: If a word is not a part of a proper noun phrase, do not label it.",Recognize and label proper nouns (Named Entity Recognition),Named Entity Recognition,"As a NLP annotator, I want to identify and tag all proper nouns in a given text, so that the entities such as persons, organizations, locations, and miscellaneous nouns are accurately categorized, by using the provided labels according to their type and position within the noun phrase."
"Definition: In this task, we ask you to identify the named entity that is the subject of the excerpt. Note that there could be multiple sentences in the excerpt and multiple named entities in each sentence - you must correctly pick the one that is the excerpt's main subject. The same named entity could appear in multiple excerpts, sometimes as the main subject, sometimes not. Emphasis & Caution: - Things to avoid: -",Identify the named entity that is the subject of the excerpt.,Named Entity Recognition,"As a Named Entity Recognizer, I want to accurately identify the main subject of a given excerpt, So that the primary focus of the text can be clearly defined and extracted, Without consideration for secondary named entities mentioned within the excerpt."
"Definition: Given the following Catalan sentence, indicate the name entities (i.e., the real-world objects such as a person, location, organization, etc. that can be denoted with a proper name) such as 'New York Times'.  For each words of a named-entity, indicate their type 'LOC' or 'ORG' or 'PER', where 'LOC' indicates a location entity (such as 'New York City', 'ORG' indicates the token of an organization (such as 'Amazon'), 'PER' indicates the tokens of a person entity (such as 'Jeff Bezos'). Named entities with other types should be indicated with 'MISC'. To indicate boundaries of an entity, use IOB (Inside-Output-Begin) prefixes. The B- prefix before a tag indicates that the word is the beginning of a named entity. The I- prefix indicates that the word is inside a bigger chunk. For example, you can break 'New York' to 'New' and 'York.' and tag them as 'B-LOC' and 'I-LOC'. Emphasis & Caution: Any token that doesn't belong to a named entity must be tagged with 'O'. Things to avoid: -",Named Entity Recognition for each token in BSC-TeMU/ancora-ca-ner catalan sentences,Named Entity Recognition,"As a text annotator, I want to identify and label named entities in a given Catalan sentence, So that the data can be used for information extraction, natural language processing tasks, or machine learning models. By using IOB format to denote the boundaries and types of named entities, tagging words as 'B-PER', 'I-PER', 'B-ORG', 'I-ORG', 'B-LOC', 'I-LOC', 'B-MISC', 'I-MISC', or 'O' according to their respective roles within the sentence."
"Definition: In this task, you will be given sentences in which your task is to recognize the name of the drug or medicine. Drugs are substances that change a person's mental or physical state. They can affect how your brain works, how you feel and behave, your understanding, and your senses. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the ADE dataset, return the list of tokens that mentions names of the drugs or medicines from the ADE Dataset.",Named Entity Recognition,"As a user, I want to accurately identify the names of drugs or medicines within given sentences, So that I can ensure proper recognition and classification of these substances based on their effects. In this task, sentences will present scenarios where my objective is to pinpoint one such drug name among potentially multiple correct answers."
"Definition: In this task, you will be given a sentence. You need to reconize the name of the disorder or disease. Emphasis & Caution: Disease is a disorder of structure or function in a human, animal, or plant, especially one that produces specific symptoms or that affects a specific location and is not simply a direct result of physical injury. Things to avoid: -","Given a sentence from the NCBI dataset, return the list of tokens that mentions names of the diseases or disorders from the NCBI Dataset.",Named Entity Recognition,"As an analyst, I want to accurately identify and recognize disorders or diseases mentioned in sentences, so that I can efficiently process and categorize medical information."
"Definition: In this task, you will be given a single sentence or a set of sentences. You have to recognize the name of the disorder or disease. Disease is a disorder of structure or function in a human, animal, or plant, especially one that produces specific symptoms or that affects a specific location and is not simply a direct result of physical injury. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the BC5CDR dataset, return the list of tokens that mentions names of the diseases or disorders from the BC5CDR Dataset.",Named Entity Recognition,"As an extractor, I want to identify and recognize the name of the disorder or disease from a given single sentence or set of sentences, so that I can provide accurate and reliable medical data classification."
"Definition: In this task, you will be given sentences in which your task is to recognize the name of the location or place. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the BTC dataset, return the list of tokens that mentions of locations/places.",Named Entity Recognition,"As a recognizer, I want to identify and extract the name of a location or place from the given sentences, so that users can obtain accurate geolocation information."
"Definition: In this task, you will be given sentences in which your task is to recognize the name of a person. Note that Twitter names shouldn't be considered as people's names. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the BTC dataset, return the list of tokens that mentions of person names.",Named Entity Recognition,"As a recognizer, I want to identify and extract the name of a person from the given sentences, excluding Twitter usernames, so that users can access accurate personal identification."
"Definition: In this task, you are given a sentence. You are expected to recognize the name of company or organization. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the BTC dataset, return the list of tokens that mentions of companies or organizations.",Named Entity Recognition,"As a recognizer, I want to identify and extract the name of a company or organization from the given sentence, so that relevant business information can be accurately categorized and utilized."
"Definition: In this task, you are given a sentence. You are expected to recognize the name of gene or protein. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the JNLPBA dataset, return the list of tokens that mentions of genes or proteins.",Named Entity Recognition,"As a identifier, I want to accurately recognize and extract the name of a gene or protein from the given sentence, so that scientific research and analysis can be properly conducted and referenced."
"Definition: In this task, you are given a sentence. You are expected to recognize the name of any form of chemical substances. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the ChemProt dataset, return the list of tokens that mentions of chemical substances.",Named Entity Recognition,"As a identifier, I want to accurately identify and extract the name of any chemical substance from the given sentence, so that such information can be effectively used in scientific research, safety data sheets, or other relevant contexts."
"Definition: In this task, you will be given sentences in which your task is to recognize the name of the organ of the body. An organ is a collection of tissues that structurally form a functional unit specialized to perform a particular function. Although there might be several correct answers, you need to write one of them. Emphasis & Caution: - Things to avoid: -","Given a sentence from the AnEM dataset, return the list of tokens that mentions of organs in the body.",Named Entity Recognition,"As a recognizer, I want to identify and extract the name of an organ from the given sentences, so that the information can be accurately used in medical documentation and research."
