Instruction,Summary,Category,User story
"Definition: We would like you to classify each of the following sets of argument pairs (discussing Death Penalty)  into either SIMILAR or NOT SIMILAR. A FACET is a low level issue that often reoccurs in many arguments in support of the author's stance or in attacking the other author's position. Emphasis & Caution: - Things to avoid: A pair of arguments is considered SIMILAR if the arguments are about the same FACET (making the same argument), and is considered NOT SIMILAR if they do not have the same FACET.","Given two arguments, determine if they are similar or not.",Text Matching,"As a Debate Classifier, I want to categorize each pair of death penalty arguments as SIMILAR or NOT SIMILAR based on whether they address the same FACET (low-level recurring issue supporting or opposing the stance), so that I can effectively analyze and organize discussions around this topic."
"Definition: We would like you to classify each of the following sets of argument pairs (discussing Gun Control)  into either SIMILAR or NOT SIMILAR. A FACET is a low level issue that often reoccurs in many arguments in support of the author's stance or in attacking the other author's position. Emphasis & Caution: - Things to avoid: A pair of arguments is considered SIMILAR if the arguments are about the same FACET (making the same argument), and is considered NOT SIMILAR if they do not have the same FACET.","Given two arguments, determine if they are similar or not.",Text Matching,"As a Gun Control Argument Analyst, I want to classify every set of argument pairs discussing Gun Control as either SIMILAR or NOT SIMILAR depending on whether they address the same FACET (a recurrent low-level issue used to support or challenge a viewpoint), so that I can systematically organize and compare the various facets of the debate."
"Definition: We would like you to assess the QUALITY of each of the following argument (discussing Gun Control) and determine if the argument is Valid or Invalid. A valid argument is clearly interpretable and either expresses an argument, or a premise or a conclusion that can be used in an argument for the topic of gun control. Emphasis & Caution: - Things to avoid: An invalid argument is a phrase that cannot be interpreted as an argument or not on the topic of gun control.","Given an argument, determine if it's valid.",Text Matching,"As a Logical Reasoning Reviewer, I want to evaluate the QUALITY of each presented argument concerning Gun Control, so that I can discern whether it's Valid by ensuring it's clearly understandable and pertinent to the subject matter, or Invalid if it doesn't form a coherent argument or isn't relevant to the topic of gun control."
"Definition: In this task, you are given a sentence in the Bulgarian language and corresponding English translation of this sentence. Here, your job is to generate label ""yes"" if translation is right, otherwise generate label ""no"". Emphasis & Caution: - Things to avoid: -","Given a sentence in Bulgarian and its corresponding English translation, verify that the translation is correct.",Text Matching,"As a quality control specialist, I want to verify the accuracy of Bulgarian-to-English translations by generating a ""yes"" label for correct translations and a ""no"" label for incorrect ones."
"Definition: You will be given two sentences. One of them is created by paraphrasing the original one, with changes on an aspect, or using synonyms. Your task is to decide what is the difference between two sentences. Types of change are explained below: Tense: The verbs in the sentence are changed in tense. Number: Plural nouns, verbs and pronouns are changed into single ones or the other way around. Voice: If the verbs are in active voice, they're changed to passive or the other way around. Adverb: The paraphrase has one adverb or more than the original sentence. Gender: The paraphrase differs from the original sentence in the gender of the names and pronouns. Synonym: Some words or phrases of the original sentence are replaced with synonym words or phrases. Changes in the names of people are also considered a synonym change. Classify your answers into Tense, Number, Voice, Adverb, Gender, and Synonym. Emphasis & Caution: - Things to avoid: -","Given a sentence and its paraphrase, decide what is the difference between them.",Text Matching,"As a text analyst, I want to identify the type of change made between two sentences, So that I can accurately classify the nature of the paraphrasing, By examining differences in verb tense, noun and pronoun number, verb voice, adverb usage, gender, and synonym replacement."
"Definition: In this task, you are given a text of article and corresponding title of an article. Your task is to generate label ""yes"" if headline (title) is right for article, otherwise generate ""no"". Emphasis & Caution: - Things to avoid: -","Given the text of an article and its title, decide whether the title is appropriate for the article.",Text Matching,"As a headline verifier, I want to determine if the provided title accurately represents the content of the given article, So that I can ensure the correctness and relevance of the headline, By analyzing the text of the article and comparing it to the given title."
"Definition: In this task, you are given a sentence in the Swedish language and a corresponding English translation of the Swedish sentence. Your task is to generate a label ""Yes"" if the translation is correct, otherwise generate label ""No"". Emphasis & Caution: - Things to avoid: -","Given a Swedish sentence and its corresponding English sentence, classify whether it is correct or not.",Text Matching,"As a translation validator, I want to assess the accuracy of provided English translations, So that I can label them as correct (""Yes"") or incorrect (""No""), By comparing the given English translation with the original Swedish sentence."
"Definition: In this task, you are given a sentence which is either in the Swedish language or English language. You task is to identify the language of input sentence. Emphasis & Caution: - Things to avoid: Input sentence can be in Swedish or English language only and also it cannot have two languages at a time.","Given a sentence, identify  whether it is in Swedish or English.",Text Matching,"As a language identifier, I want to determine the language of a given sentence, So that it can be properly categorized and processed accordingly, By recognizing whether the input sentence is in Swedish or English, And noting that the input will only ever contain one language, not a mix of both."
"Definition: In this task you are given a sentence pair from wikipedia that have high lexical overlap. If the sentences have the same meaning and are just paraphrases of each other label them as ""Paraphrase"" , if not label them as ""Not paraphrase"". The two sentences are seperated by a new line. Emphasis & Caution: - Things to avoid: -","Given two sentences, judge whether they are paraphrases of each other",Text Matching,"As a Wikipedia content reviewer, I want to identify if given sentence pairs with high lexical overlap are paraphrases or not, So that I can ensure consistent and accurate information across articles. Given sentence pairs will be separated by a newline character."
"Definition: You will be given two questions. You should decide whether the second question is a good paraphrase of the first one. If you are able to tell that the two questions are the same without any other information, answer ""Yes"", otherwise answer ""No"". Emphasis & Caution: - Things to avoid: -","Given two questions, decide whether the second one is a valid paraphrase of the first one",Text Matching,"As a Paraphrase Evaluator, I want to determine if the second question is a good rephrasing of the first one, So that I can validate their semantic equivalence, By comparing the meaning of both questions without additional context."
